nth vaddr      bind type lib          name
24  0x00455a98 NONE FUNC KERNEL32.dll FreeResource
25  0x00455a9c NONE FUNC KERNEL32.dll LocalFree
26  0x00455aa0 NONE FUNC KERNEL32.dll FindResourceA
27  0x00455aa4 NONE FUNC KERNEL32.dll GetProcAddress
28  0x00455aa8 NONE FUNC KERNEL32.dll CloseHandle
1   0x00455ab0 NONE FUNC SHELL32.dll  DragQueryFileA
2   0x00455ab4 NONE FUNC SHELL32.dll  DragFinish
3   0x00455ab8 NONE FUNC SHELL32.dll  ShellExecuteA
1   0x00455ac0 NONE FUNC bds52t.dll   @TColor@LtBlue
2   0x00455ac4 NONE FUNC bds52t.dll   @TColor@LtGray
3   0x00455ac8 NONE FUNC bds52t.dll   @TColor@GetValue$xqv
4   0x00455acc NONE FUNC bds52t.dll   @TMsgThread@PumpWaitingMessages$qv
5   0x00455ad0 NONE FUNC bds52t.dll   @TPReadObjects@$bctr$qv
6   0x00455ad4 NONE FUNC bds52t.dll   @TColor@White
7   0x00455ad8 NONE FUNC bds52t.dll   @TColor@Black
8   0x00455adc NONE FUNC bds52t.dll   @TProfile@GetInt$qpxci
9   0x00455ae0 NONE FUNC bds52t.dll   @TProfile@GetString$qpxcpcuit1
10  0x00455ae4 NONE FUNC bds52t.dll   @TProfile@$bdtr$qv
11  0x00455ae8 NONE FUNC bds52t.dll   @TProfile@WriteString$qpxct1
12  0x00455aec NONE FUNC bds52t.dll   @TRect@$brand$qrx5TRect
13  0x00455af0 NONE FUNC bds52t.dll   @TProfile@WriteInt$qpxci
14  0x00455af4 NONE FUNC bds52t.dll   @TProfile@$bctr$qpxct1
15  0x00455af8 NONE FUNC bds52t.dll   @TRect@Offset$qii
16  0x00455afc NONE FUNC bds52t.dll   @TStreamableBase@$bdtr$qv
17  0x00455b00 NONE FUNC bds52t.dll   @TRect@Normalize$qv
18  0x00455b04 NONE FUNC bds52t.dll   @TThread@$bdtr$qv
19  0x00455b08 NONE FUNC bds52t.dll   @TThread@Terminate$qv
20  0x00455b0c NONE FUNC bds52t.dll   @TSystem@SupportsThreads$qv
21  0x00455b10 NONE FUNC bds52t.dll   @TRect@Inflate$qii
22  0x00455b14 NONE FUNC bds52t.dll   @TUIMetric@CyDoubleClk
23  0x00455b18 NONE FUNC bds52t.dll   @TUIMetric@CyScreen
24  0x00455b1c NONE FUNC bds52t.dll   @TUIMetric@CxScreen
25  0x00455b20 NONE FUNC bds52t.dll   @TXBase@$bctr$qrx6string
26  0x00455b24 NONE FUNC bds52t.dll   @TXBase@$bdtr$qv
27  0x00455b28 NONE FUNC bds52t.dll   @TXBase@$bctr$qrx6TXBase
28  0x00455b2c NONE FUNC bds52t.dll   @TUIMetric@CxDoubleClk
29  0x00455b30 NONE FUNC bds52t.dll   @TRect@$bror$qrx5TRect
30  0x00455b34 NONE FUNC bds52t.dll   @TCmdLine@$bdtr$qv
31  0x00455b38 NONE FUNC bds52t.dll   @TCmdLine@NextToken$q4bool
32  0x00455b3c NONE FUNC bds52t.dll   @TCmdLine@$bctr$qpxc
33  0x00455b40 NONE FUNC bds52t.dll   @fpbase@close$qv
34  0x00455b44 NONE FUNC bds52t.dll   @$brsh$qr8ipstreamr6string
35  0x00455b48 NONE FUNC bds52t.dll   @$brsh$qr8ipstreamr5TRect
36  0x00455b4c NONE FUNC bds52t.dll   @$blsh$qr8opstreamrx6string
37  0x00455b50 NONE FUNC bds52t.dll   @TXBase@Throw$qv
38  0x00455b54 NONE FUNC bds52t.dll   @opstream@writeWord32$qul
39  0x00455b58 NONE FUNC bds52t.dll   @TXBase@InstanceCount
40  0x00455b5c NONE FUNC bds52t.dll   @TXBase@Clone$qv
41  0x00455b60 NONE FUNC bds52t.dll   @NColors$qus
42  0x00455b64 NONE FUNC bds52t.dll   @strnewdup$qpxcui
43  0x00455b68 NONE FUNC bds52t.dll   @pstream@$bdtr$qv
44  0x00455b6c NONE FUNC bds52t.dll   @opstream@writeBytes$qpxvui
45  0x00455b70 NONE FUNC bds52t.dll   @opstream@$bctr$qv
46  0x00455b74 NONE FUNC bds52t.dll   @ipstream@readWord32$qv
47  0x00455b78 NONE FUNC bds52t.dll   @ipstream@readWord$qv
48  0x00455b7c NONE FUNC bds52t.dll   @ipstream@readVersion$qv
49  0x00455b80 NONE FUNC bds52t.dll   @ipstream@readBytes$qpvui
50  0x00455b84 NONE FUNC bds52t.dll   @fpbase@open$qpxcii
1   0x00455b8c NONE FUNC USER32.dll   UpdateWindow
2   0x00455b90 NONE FUNC USER32.dll   SetFocus
3   0x00455b94 NONE FUNC USER32.dll   AppendMenuA
4   0x00455b98 NONE FUNC USER32.dll   DeleteMenu
5   0x00455b9c NONE FUNC USER32.dll   IsZoomed
6   0x00455ba0 NONE FUNC USER32.dll   ClientToScreen
7   0x00455ba4 NONE FUNC USER32.dll   GetCursorPos
8   0x00455ba8 NONE FUNC USER32.dll   GetDC
